name,status,beginDate,endDate,stationTriplet,latitude,longitude,elevation,countyName,huc
Adin Mtn,Biased,--,--,301:CA:SNTL,41.23583,-120.79192,6170.00,Modoc,180200021403
Agua Canyon,Biased,--,--,907:UT:SNTL,37.52217,-112.27118,8890.00,Kane,160300020301
Alpine Meadows,Biased,--,--,908:WA:SNTL,47.77957,-121.69847,3500.00,King,171100100501
Althouse,Biased,--,--,1239:CA:SNTLT,41.99617,-123.54700,4970.00,Del Norte,171003110302
Annie Springs,Biased,--,--,1000:OR:SNTL,42.87007,-122.16518,6020.00,Klamath,180102030101
Anthony Lake,Biased,--,--,1245:OR:SNTLT,44.95910,-118.22668,7160.00,Baker,170502030503
Arbuckle Mtn,Biased,--,--,304:OR:SNTL,45.19085,-119.25392,5770.00,Morrow,170702020604
Ashley Divide,Biased,--,--,1165:MT:SNTLT,48.20161,-114.51495,4820.00,Flathead,170102080108
Badger Pass,Biased,--,--,307:MT:SNTL,48.13091,-113.02311,6870.00,Pondera,100302010201
Bald Mtn AM,Biased,--,--,1240:NV:SNTLT,41.82168,-119.63712,6660.00,Washoe,160402040101
Bald Mtn AM OR,Biased,--,--,447:OR:SNTLT,45.21158,-117.66260,6650.00,Union,170601040504
Bald Mtn.,Biased,--,--,309:WY:SNTL,44.80061,-107.84428,9360.00,Big Horn,100800100501
Banfield Mountain,Biased,--,--,311:MT:SNTL,48.57120,-115.44573,5580.00,Lincoln,170101011202
Barney Creek,Biased,--,--,1246:OR:SNTLT,44.36069,-118.31114,5820.00,Baker,170502020202
Base Camp,Biased,--,--,314:WY:SNTL,43.94019,-110.44544,7040.00,Teton,170401010304
Bear Basin,Biased,--,--,319:ID:SNTL,44.95222,-116.14293,5350.00,Adams,170602100104
Bear Canyon,Biased,--,--,320:ID:SNTL,43.74367,-113.93797,7920.00,Custer,170402180101
Bear Creek,Biased,--,--,321:NV:SNTL,41.83391,-115.45278,8090.00,Elko,170501020301
Bear Flat Meadow AM,Biased,--,--,1291:OR:SNTLT,42.41655,-120.47043,6580.00,Lake,171200060105
Bear Grass,Biased,--,--,1166:OR:SNTL,44.32530,-122.09380,4720.00,Linn,170900040203
Bear Mountain,Biased,--,--,323:ID:SNTL,48.30583,-116.07444,5460.00,Bonner,170102131202
Bear Trap Meadow,Biased,--,--,325:WY:SNTL,43.88743,-107.06135,8200.00,Johnson,100902010205
Beartooth Lake,Biased,--,--,326:WY:SNTL,44.94307,-109.56743,9360.00,Park,100700060206
Beaver Creek,Biased,--,--,328:MT:SNTL,44.94966,-111.35852,7820.00,Gallatin,100200070402
Beaver Pass,Biased,--,--,990:WA:SNTL,48.87930,-121.25550,3630.00,Whatcom,171100050605
Ben Lomond Trail,Biased,--,--,333:UT:SNTL,41.38291,-111.92103,5980.00,Weber,160201020302
Big Flat,Biased,--,--,339:UT:SNTL,38.30183,-112.35672,10320.00,Beaver,160300070202
Big Goose,Biased,--,--,931:WY:SNTL,44.57922,-107.20068,8010.00,Sheridan,100901010103
Big Red Mountain,Biased,--,--,341:OR:SNTL,42.05257,-122.85487,6060.00,Jackson,171003090301
Big Sheep AM,Biased,--,--,1229:OR:SNTLT,45.16842,-117.08631,6250.00,Wallowa,170601020301
Billie Creek Divide,Biased,--,--,344:OR:SNTL,42.40717,-122.26617,5280.00,Klamath,180102030201
Bisson Creek,Biased,--,--,346:MT:SNTL,47.68386,-113.99895,4880.00,Lake,170102120602
Black Bear,Biased,--,--,347:MT:SNTL,44.50832,-111.12803,8160.00,Gallatin,100200070202
Blazed Alder,Biased,--,--,351:OR:SNTL,45.42870,-121.85605,3660.00,Clackamas,170800010102
Blind Park,Biased,--,--,354:SD:SNTL,44.10772,-103.97688,6900.00,Pennington,101201100104
Blue Mountain Spring,Biased,--,--,357:OR:SNTL,44.24767,-118.51722,5880.00,Grant,170501160104
Bobs Hollow,Biased,--,--,1278:UT:SNTL,38.94569,-112.15349,9320.00,Millard,160300051401
Bone Springs Div,Biased,--,--,358:WY:SNTL,44.67881,-107.58110,9340.00,Sheridan,100800100102
Bowman Springs,Biased,--,--,362:OR:SNTL,45.36428,-118.46715,4540.00,Umatilla,170701030401
Box Canyon,Biased,--,--,363:MT:SNTL,45.27178,-110.24899,6720.00,Park,100700020902
Box Creek,Biased,--,--,364:UT:SNTL,38.50809,-112.01856,9850.00,Sevier,160300020106
Bristlecone Trail,Biased,--,--,1111:NV:SNTL,36.31575,-115.69543,8900.00,Clark,150100150206
Brown Duck,Biased,--,--,368:UT:SNTL,40.58102,-110.58587,10570.00,Duchesne,140600030604
Brown Top,Biased,--,--,1080:WA:SNTL,48.92753,-121.19717,5840.00,Whatcom,171100050601
Buckinghorse,Biased,--,--,1107:WA:SNTL,47.70860,-123.45747,4860.00,Jefferson,171100200501
Buckskin Lake AM,Biased,--,--,1292:OR:SNTLT,43.02503,-118.94785,5200.00,Harney,171200030206
Bug Lake,Biased,--,--,374:UT:SNTL,41.68541,-111.41987,7980.00,Rich,160102010102
Bumping Ridge,Biased,--,--,375:WA:SNTL,46.81003,-121.33058,4600.00,Yakima,170300020105
Burgess Junction,Biased,--,--,377:WY:SNTL,44.78765,-107.52917,7900.00,Sheridan,100901010202
Burnt Mountain,Biased,--,--,942:WA:SNTL,47.04440,-121.94032,4160.00,Pierce,171100140103
Burroughs Creek,Biased,--,--,379:WY:SNTL,43.69733,-109.67021,8760.00,Fremont,100800010102
Call Meadows AM,Biased,--,--,1289:OR:SNTLT,43.81191,-118.78565,5380.00,Harney,171200010201
Calvert Creek,Biased,--,--,381:MT:SNTL,45.88380,-113.32553,6410.00,Deer Lodge,100200040801
Camas Creek Divide,Biased,--,--,382:ID:SNTL,43.26548,-115.34530,5720.00,Elmore,170402200101
Camp Jackson,Biased,--,--,383:UT:SNTL,37.81333,-109.48723,8840.00,San Juan,140802010301
Canyon Lake,Biased,--,--,1232:AK:SCAN,59.42425,-161.16354,560.00,Bethel,190305028402
Cascade Summit,Biased,--,--,388:OR:SNTL,43.59042,-122.06010,5100.00,Deschutes,170900010301
Castle Creek,Biased,--,--,1130:WY:SNTL,43.67480,-109.37740,8410.00,Fremont,100800010401
Castle Valley,Biased,--,--,390:UT:SNTL,37.66098,-112.74093,9610.00,Iron,160300010201
Cayuse Pass,Biased,--,--,1085:WA:SNTL,46.86956,-121.53434,5260.00,Pierce,171100140301
Cedar Pass,Biased,--,--,391:CA:SNTL,41.58216,-120.30253,7060.00,Modoc,180200020603
Chalk Creek #1,Biased,--,--,392:UT:SNTL,40.85464,-111.04765,9160.00,Summit,160201010301
Chalk Creek #2,Biased,--,--,393:UT:SNTL,40.88529,-111.06954,8200.00,Summit,160201010301
Checkers Creek,Biased,--,--,2213:AK:SCAN,65.40300,-164.71100,370.00,Nome,190501050503
Chemult Alternate,Biased,--,--,395:OR:SNTL,43.22625,-121.80662,4850.00,Klamath,180102010201
Chepeta,Biased,--,--,396:UT:SNTL,40.77458,-110.01050,10490.00,Duchesne,140600031202
Clackamas Lake,Biased,--,--,398:OR:SNTL,45.09658,-121.75443,3400.00,Clackamas,170900110301
Clear Creek #2,Biased,--,--,400:UT:SNTL,39.89275,-111.25154,7850.00,Utah,160202020102
Cloud Peak Reservoir,Biased,--,--,402:WY:SNTL,44.40328,-107.06074,9830.00,Johnson,100902060301
Clover Meadow,Biased,--,--,403:MT:SNTL,45.01788,-111.84560,8770.00,Madison,100200070803
Cold Springs,Biased,--,--,405:WY:SNTL,43.27676,-109.44585,9640.00,Fremont,100800010702
Cold Springs Camp,Biased,--,--,406:OR:SNTL,42.53305,-122.17683,5940.00,Klamath,180102030202
Cole Canyon,Biased,--,--,982:WY:SNTL,44.48632,-104.41057,5930.00,Crook,101202030302
Columbia Basin,Biased,--,--,1204:NV:SNTL,41.67167,-116.07033,6480.00,Elko,170501050503
Copper Bottom,Biased,--,--,413:MT:SNTL,47.05678,-112.59500,5200.00,Lewis and Clark,170102030103
Corral Pass,Biased,--,--,418:WA:SNTL,47.01872,-121.46464,5810.00,Pierce,171100140307
Cottonwood Creek,Biased,--,--,419:WY:SNTL,42.64590,-110.81482,7710.00,Lincoln,170401050102
Cougar Mountain,Biased,--,--,420:WA:SNTL,47.27666,-121.67138,3210.00,King,171100130202
